sex,surv,totlen,wingext,wgt,head,humer,femur,tibio,skull,stern,ln(totlen),ln(wingext),ln(wgt),ln(head),ln(humer),ln(femur),ln(tibio),ln(skull),ln(stern)
male,alive,154,241,24.5,31.2,0.687,0.668,1.022,0.587,0.83,5.0369526,5.48479693,1.06622437,3.4404181,-0.375421,-0.4034671,0.02176149,-0.5327305,-0.1863296
male,alive,160,252,26.9,30.8,0.736,0.709,1.18,0.602,0.841,5.07517382,5.52942909,1.09737543,3.42751469,-0.3065252,-0.3438998,0.16551444,-0.5074978,-0.1731636
male,alive,155,243,26.9,30.6,0.733,0.704,1.151,0.602,0.846,5.04342512,5.49306144,1.09737543,3.42100001,-0.3106096,-0.3509769,0.14063113,-0.5074978,-0.1672359
male,alive,154,245,24.3,31.7,0.741,0.688,1.146,0.584,0.839,5.0369526,5.50125821,1.06349212,3.45631668,-0.2997547,-0.3739664,0.13627762,-0.5378543,-0.1755446
male,alive,156,247,24.1,31.5,0.715,0.706,1.129,0.575,0.821,5.04985601,5.50938834,1.06073728,3.44998755,-0.3354727,-0.34814,0.12133229,-0.5533852,-0.1972322
male,alive,161,253,26.5,31.8,0.78,0.743,1.144,0.607,0.893,5.08140437,5.53338949,1.09238158,3.45946629,-0.2484614,-0.2970592,0.13453089,-0.4992265,-0.1131687
male,alive,157,251,24.6,31.1,0.741,0.736,1.153,0.61,0.862,5.05624581,5.52545294,1.06758215,3.43720782,-0.2997547,-0.3065252,0.14236724,-0.4942963,-0.1485
male,alive,159,247,24.2,31.4,0.728,0.718,1.126,0.609,0.793,5.0689042,5.50938834,1.06211754,3.44680789,-0.3174542,-0.3312857,0.11867153,-0.495937,-0.2319321
male,alive,158,247,23.6,29.8,0.703,0.673,1.079,0.602,0.82,5.06259503,5.50938834,1.0537489,3.39450839,-0.3523984,-0.3960099,0.07603469,-0.5074978,-0.1984509
male,alive,158,252,26.2,32,0.749,0.739,1.153,0.614,0.857,5.06259503,5.52942909,1.08858647,3.4657359,-0.2890163,-0.3024574,0.14236724,-0.4877604,-0.1543174
male,alive,160,252,26.2,32,0.741,0.723,1.129,0.624,0.892,5.07517382,5.52942909,1.08858647,3.4657359,-0.2997547,-0.3243461,0.12133229,-0.4716049,-0.1142891
male,alive,162,253,24.8,32.3,0.766,0.752,1.134,0.633,0.923,5.08759634,5.53338949,1.07028122,3.47506723,-0.2665731,-0.285019,0.12575121,-0.4572849,-0.080126
male,alive,161,243,25.4,31.8,0.721,0.722,1.126,0.597,0.891,5.08140437,5.49306144,1.07824972,3.45946629,-0.3271161,-0.3257301,0.11867153,-0.5158382,-0.1154109
male,alive,160,250,23.7,29.8,0.73,0.703,1.103,0.59,0.82,5.07517382,5.52146092,1.05515835,3.39450839,-0.3147107,-0.3523984,0.09803374,-0.5276327,-0.1984509
male,alive,159,247,25.7,31.4,0.729,0.717,1.141,0.592,0.927,5.0689042,5.50938834,1.08216366,3.44680789,-0.3160815,-0.3326794,0.13190507,-0.5242486,-0.0758017
male,alive,158,253,25.7,31.9,0.743,0.699,1.15,0.6,0.86,5.06259503,5.53338949,1.08216366,3.46260601,-0.2970592,-0.3581045,0.13976194,-0.5108256,-0.1508229
male,alive,159,247,26.5,31.6,0.733,0.714,1.155,0.611,0.923,5.0689042,5.50938834,1.09238158,3.45315712,-0.3106096,-0.3368723,0.14410034,-0.4926583,-0.080126
male,alive,166,253,26.7,32.5,0.767,0.765,1.23,0.6,0.878,5.11198779,5.53338949,1.09488785,3.48124009,-0.2652685,-0.2678794,0.20701417,-0.5108256,-0.1301087
male,alive,159,247,23.9,31.4,0.752,0.723,1.113,0.602,0.825,5.0689042,5.50938834,1.05795949,3.44680789,-0.285019,-0.3243461,0.10705907,-0.5074978,-0.1923719
male,alive,160,248,24.7,31.3,0.752,0.737,1.176,0.603,0.803,5.07517382,5.51342875,1.06893441,3.4436181,-0.285019,-0.3051674,0.16211885,-0.5058381,-0.2194006
male,alive,161,252,28,31.8,0.77,0.731,1.19,0.59,0.885,5.08140437,5.52942909,1.11073484,3.45946629,-0.2613648,-0.3133418,0.17395331,-0.5276327,-0.1221676
male,alive,163,251,27.9,31.9,0.769,0.745,1.168,0.622,0.86,5.0937502,5.52545294,1.10954223,3.46260601,-0.2626643,-0.2943711,0.15529288,-0.4748152,-0.1508229
male,alive,156,242,25.9,32,0.723,0.711,1.116,0.609,0.886,5.04985601,5.48893773,1.08474766,3.4657359,-0.3243461,-0.3410828,0.10975086,-0.495937,-0.1210383
male,alive,165,251,25.7,32.2,0.751,0.742,1.161,0.613,0.865,5.10594547,5.52545294,1.08216366,3.47196645,-0.2863496,-0.298406,0.1492817,-0.4893903,-0.1450258
male,alive,160,247,26.6,32.4,0.728,0.707,1.108,0.59,0.836,5.07517382,5.50938834,1.09363707,3.47815842,-0.3174542,-0.3467246,0.10255659,-0.5276327,-0.1791267
male,alive,158,244,23.2,31.6,0.73,0.713,1.142,0.585,0.888,5.06259503,5.49716823,1.04805076,3.45315712,-0.3147107,-0.3382739,0.13278111,-0.5361434,-0.1187835
male,alive,160,242,25.7,31.6,0.709,0.705,1.124,0.62,0.788,5.07517382,5.48893773,1.08216366,3.45315712,-0.3438998,-0.3495575,0.11689375,-0.4780358,-0.2382572
male,alive,157,245,26.3,32.2,0.741,0.726,1.143,0.595,0.85,5.05624581,5.50125821,1.08985631,3.47196645,-0.2997547,-0.3202053,0.13365639,-0.5191939,-0.1625189
male,alive,159,244,24.3,31.5,0.723,0.698,1.107,0.615,0.847,5.0689042,5.49716823,1.06349212,3.44998755,-0.3243461,-0.3595362,0.10165365,-0.486133,-0.1660546
male,alive,160,253,26.7,32.1,0.739,0.714,1.117,0.592,0.864,5.07517382,5.53338949,1.09488785,3.46885603,-0.3024574,-0.3368723,0.11064652,-0.5242486,-0.1461825
male,alive,158,245,24.9,31.4,0.726,0.703,1.119,0.58,0.854,5.06259503,5.50125821,1.0716226,3.44680789,-0.3202053,-0.3523984,0.11243543,-0.5447272,-0.1578241
male,alive,161,247,23.8,31.4,0.735,0.694,1.101,0.602,0.789,5.08140437,5.50938834,1.05656186,3.44680789,-0.3078848,-0.3652833,0.09621886,-0.5074978,-0.236989
male,alive,160,247,25.6,32.3,0.756,0.745,1.135,0.607,0.902,5.07517382,5.50938834,1.08086412,3.47506723,-0.2797139,-0.2943711,0.12663265,-0.4992265,-0.1031408
male,alive,160,247,27,32,0.755,0.736,1.174,0.631,0.873,5.07517382,5.50938834,1.09861229,3.4657359,-0.2810375,-0.3065252,0.16041672,-0.4604494,-0.1358197
male,alive,153,241,24.7,32.2,0.728,0.68,1.092,0.592,0.884,5.03043792,5.48479693,1.06893441,3.47196645,-0.3174542,-0.3856625,0.08801088,-0.5242486,-0.1232982
male,dead,165,249,26.5,31,0.738,0.701,1.095,0.606,0.847,5.10594547,5.5174529,1.09238158,3.4339872,-0.3038115,-0.3552474,0.09075436,-0.5008753,-0.1660546
male,dead,160,245,26.1,32,0.736,0.709,1.109,0.611,0.842,5.07517382,5.50125821,1.08731177,3.4657359,-0.3065252,-0.3438998,0.10345871,-0.4926583,-0.1719753
male,dead,161,249,25.6,32.3,0.743,0.718,1.128,0.602,0.828,5.08140437,5.5174529,1.08086412,3.47506723,-0.2970592,-0.3312857,0.12044615,-0.5074978,-0.1887421
male,dead,162,246,25.9,32.3,0.738,0.709,1.135,0.607,0.869,5.08759634,5.50533154,1.08474766,3.47506723,-0.3038115,-0.3438998,0.12663265,-0.4992265,-0.1404122
male,dead,163,250,25.5,32.5,0.752,0.731,1.197,0.623,0.888,5.0937502,5.52146092,1.07955948,3.48124009,-0.285019,-0.3133418,0.17981843,-0.4732088,-0.1187835
male,dead,162,247,27.6,31.8,0.731,0.719,1.113,0.597,0.869,5.08759634,5.50938834,1.10593859,3.45946629,-0.3133418,-0.3298939,0.10705907,-0.5158382,-0.1404122
male,dead,163,246,25.8,31.4,0.689,0.662,1.073,0.604,0.836,5.0937502,5.50533154,1.08345816,3.44680789,-0.372514,-0.4124897,0.07045846,-0.5041811,-0.1791267
male,dead,161,246,24.9,30.5,0.739,0.726,1.138,0.58,0.803,5.08140437,5.50533154,1.0716226,3.41772668,-0.3024574,-0.3202053,0.12927234,-0.5447272,-0.2194006
male,dead,160,242,26,31,0.745,0.713,1.105,0.6,0.803,5.07517382,5.48893773,1.08603218,3.4339872,-0.2943711,-0.3382739,0.09984534,-0.5108256,-0.2194006
male,dead,162,246,26.5,31.5,0.72,0.696,1.092,0.606,0.809,5.08759634,5.50533154,1.09238158,3.44998755,-0.3285041,-0.3624056,0.08801088,-0.5008753,-0.2119564
male,dead,160,249,26,31.4,0.726,0.689,1.097,0.602,0.85,5.07517382,5.5174529,1.08603218,3.44680789,-0.3202053,-0.372514,0.09257918,-0.5074978,-0.1625189
male,dead,161,250,27.1,31.6,0.737,0.711,1.12,0.631,0.852,5.08140437,5.52146092,1.09984458,3.45315712,-0.3051674,-0.3410828,0.11332869,-0.4604494,-0.1601688
