"code","dose","colony","newday","day30","phase","tubetemp","tubehumidity","temp","humidity","startweight","startage","doublefeeder","meanco2","suc40ml","suc5ml","buzz","sit","walk","wave","totalactive","totalinactive","totaldistance","binaryactive","totalsuc"
"B10B21",200,10,7,25,"Recovery",25.2,29,25.6,26,0.265,2,2,16.53090909,0.316609977,"NA",0,1,0,299,0,300,0,"No",0.316609977
"B10B21",200,10,10,30,"Recovery",25,30,25.6,30,0.265,2,2,9.387474747,0.320294785,"NA",23,10,251,16,274,26,180,"Yes",0.320294785
"B10B22",0,10,7,15,"on",24.7,29,25.6,29,0.248,2,2,19.91624161,0.469812925,0.138506876,11,25,207,57,218,82,165,"Yes",0.608319801
"B10B22",0,10,7,25,"Recovery",25.1,34,25.6,34,0.248,2,2,16.04565657,0.403061224,0.311722331,0,6,260,34,260,40,195,"Yes",0.714783555
"B10B22",0,10,10,30,"Recovery",25.3,38.1,25.6,38.1,0.248,2,2,16.32383838,0.207482993,0.580222659,50,9,241,0,291,9,157.5,"Yes",0.787705652
"B10B23",200,10,7,15,"on",24.6,30,25.6,30,0.239,2,2,22.52697987,0.651785714,0.298133595,0,1,0,299,0,300,0,"No",0.949919309
"B10B23",200,10,10,30,"Recovery",25.2,38.1,25.6,28,0.239,2,2,10.51454545,0.513038548,0.748199083,0,7,55,238,55,245,45,"Yes",1.261237631
"B10B25",0,10,7,25,"Recovery",24.9,29,25.6,29,0.208,2,1,10.14626263,0.01984127,"NA",37,12,87,164,124,176,52.5,"Yes",0.01984127
"B1B1",200,1,7,15,"on",24.8,32,25.5,32,0.179,5,1,24.32025,0.283163265,"NA",4,9,128,159,132,168,112.5,"Yes",0.283163265
"B1B1",200,1,7,25,"Recovery",25,33.2,25.5,33.2,0.179,5,1,4.215151515,0.145975057,"NA",0,276,0,24,0,300,0,"No",0.145975057
"B1B1",200,1,10,20,"on",25,29,25.6,29,0.179,5,1,18.72484848,0.624716556,"NA",0,300,0,0,0,300,0,"No",0.624716556
"B1B11",200,1,7,8,"down",25.3,30.2,25.6,30.2,0.1,4,1,11.95919192,0.147959184,"NA",2,5,198,95,200,100,105,"Yes",0.147959184
"B1B12",200,1,7,8,"down",25.4,32,25.5,30.2,0.116,4,1,10.74040404,0.230442177,"NA",0,300,0,0,0,300,0,"No",0.230442177
"B1B12",200,1,7,15,"on",25.6,33.2,25.5,33.2,0.116,4,1,21.391375,0.365646259,"NA",0,300,0,0,0,300,0,"No",0.365646259
"B1B12",200,1,10,20,"on",25.7,30.2,25.6,30.2,0.116,4,1,7.171919192,0.579931973,"NA",0,1,0,299,0,300,0,"No",0.579931973
"B1B15",200,1,8,8,"down",25.2,30.2,25.6,30.2,0.179,3,1,14.84966443,0.163265306,"NA",3,10,209,78,212,88,112.5,"Yes",0.163265306
"B1B16",200,1,7,15,"on",25.6,32,25.5,32,0.2,3,1,22.380375,0.37414966,"NA",32,29,143,96,175,125,112.5,"Yes",0.37414966
"B1B16",200,1,7,25,"Recovery",24.8,33.2,25.5,33.2,0.2,3,1,9.05030303,0.503401361,"NA",0,300,0,0,0,300,0,"No",0.503401361
"B1B16",200,1,10,20,"on",24.9,29,25.6,29,0.2,3,1,16.63535354,0.79109977,"NA",36,10,109,145,145,155,90,"Yes",0.79109977
"B1B18",200,1,8,8,"down",25,30.2,25.6,30,0.184,3,2,12.08081301,0.195578231,0.1021611,0,300,0,0,0,300,0,"No",0.297739331
"B1B19",200,1,8,8,"down",25.1,30.2,25.6,29,0.213,3,2,16.17131313,0.143707483,0.145383104,0,11,35,254,35,265,45,"Yes",0.289090587
"B1B24",0,1,7,15,"on",25.3,32,25.5,32,0.24,2,2,13.45875,0.260629252,0.274557957,2,13,69,216,71,229,60,"Yes",0.535187209
"B1B24",0,1,8,8,"down",25.4,33.1,25.5,33.1,0.24,2,2,13.42705882,0.106292517,0.098559266,0,71,0,229,0,300,0,"No",0.204851783
"B1B24",0,1,10,20,"on",25.2,30.2,25.6,30.2,0.24,2,2,5.895757576,0.085884354,0.194826454,6,168,57,69,63,237,37.5,"Yes",0.280710808
"B1B25",0,1,8,8,"down",25,30.2,25.6,28,0.219,2,2,9.358969072,0.232142857,0.082187296,0,116,51,133,51,249,37.5,"Yes",0.314330153
"B1B26",0,1,7,15,"on",25.3,32,25.5,30,0.25,2,1,12.861125,0.085459184,"NA",0,300,0,0,0,300,0,"No",0.085459184
"B1B26",0,1,10,20,"on",25,33.1,25.5,33.1,0.25,2,1,5.542828283,0.28599773,"NA",0,3,14,283,14,286,15,"Yes",0.28599773
"B1B27",0,1,8,8,"down",24.5,30.2,25.6,30.2,0.16,2,1,12.76609929,0.199829932,"NA",8,26,140,126,148,152,105,"Yes",0.199829932
"B1B29",200,1,8,8,"down",24.7,30.2,25.6,30.2,0.181,2,1,12.46609929,0.198129252,"NA",4,8,169,119,173,127,127.5,"Yes",0.198129252
"B2B13",0,2,7,15,"on",25.8,32,25.5,35,0.279,3,2,10.845,0.481717687,0.606581532,2,73,171,54,173,127,195,"Yes",1.088299219
"B2B13",0,2,7,25,"Recovery",25.1,33.1,25.5,33.1,0.279,3,2,15.64989899,0.445578231,0.31270465,0,3,32,265,32,268,15,"Yes",0.758282881
"B2B13",0,2,8,8,"down",24.7,34,25.5,34,0.279,3,2,23.8121519,0.232993197,0.172233137,0,300,0,0,0,300,0,"No",0.405226334
"B2B13",0,2,10,20,"on",24.8,29,25.6,35,0.279,3,2,20.25090909,0.18537415,0.979698752,14,10,274,2,288,12,180,"Yes",1.165072902
"B2B13",0,2,10,30,"Recovery",25.3,30.2,25.6,30.2,0.279,3,2,28.81393939,0.605442177,0.313359528,8,207,60,25,68,232,67.5,"Yes",0.918801705
"B2B17",0,2,8,8,"down",25,30.2,25.6,29,0.156,3,1,14.47461538,0.12244898,"NA",0,300,0,0,0,300,0,"No",0.12244898
"B2B20",0,2,7,15,"on",25.2,32,25.5,31,0.202,3,1,21.117125,0.444302721,"NA",16,5,26,253,42,258,30,"Yes",0.444302721
"B2B20",0,2,7,25,"Recovery",25.3,33.1,25.5,27,0.202,3,1,9.632929293,0.096371882,"NA",19,14,93,174,112,188,82.5,"Yes",0.096371882
"B2B20",0,2,8,8,"down",25.4,29,25.6,29,0.202,3,1,17.74322034,0.170918367,"NA",0,300,0,0,0,300,0,"No",0.170918367
"B2B20",0,2,10,20,"on",25.7,30.2,25.6,30.2,0.202,3,1,15.71979798,0.429138325,"NA",29,22,194,55,223,77,172.5,"Yes",0.429138325
"B2B24",200,2,8,8,"down",25,30.2,25.6,30.2,0.194,2,2,13.14989691,0.25,0.032743942,0,300,0,0,0,300,0,"No",0.282743942
"B2B25",200,2,7,15,"on",24.9,33.2,25.5,33.2,0.185,2,2,10.840625,0.553146259,0.456777996,0,300,0,0,0,300,0,"No",1.009924255
"B2B25",200,2,8,8,"down",25.4,30.2,25.6,30.2,0.185,2,2,13.55188679,0.169217687,0.066797642,13,107,141,39,154,146,105,"Yes",0.236015329
"B2B26",0,2,7,15,"on",25,32,25.5,32,0.121,2,1,17.217375,0.197278912,"NA",0,105,75,120,75,225,45,"Yes",0.197278912
"B2B26",0,2,10,20,"on",25.1,33.1,25.5,33.1,0.121,2,1,7.636565657,0.304988665,"NA",2,33,125,140,127,173,37.5,"Yes",0.304988665
"B2B5",200,2,7,25,"Recovery",25,32,25.5,25,0.251,5,1,22.47878788,0.284297052,"NA",0,3,11,286,11,289,15,"Yes",0.284297052
"B2B5",200,2,10,20,"on",25.2,29,25.6,29,0.251,5,1,6.92969697,0.387755102,"NA",35,15,205,45,240,60,180,"Yes",0.387755102
"B2B8",0,2,7,25,"Recovery",25.4,34,25.5,34,0.13,5,2,13.20989899,0.204648526,0.041257367,4,12,183,101,187,113,127.5,"Yes",0.245905893
"B2B8",0,2,8,8,"down",25.3,29,25.6,29,0.13,5,2,13.91313131,0.203231293,0.128683694,15,8,145,132,160,140,60,"Yes",0.331914987
"B2B8",0,2,10,30,"Recovery",25.6,30.2,25.6,30.2,0.13,5,2,14.27474747,0.165249433,0.378519974,1,4,174,121,175,125,127.5,"Yes",0.543769407
"B3B1",200,3,7,15,"on",25,30,25.5,30,0.208,5,1,12.6875,0.629251701,"NA",2,46,157,95,159,141,142.5,"Yes",0.629251701
"B3B1",200,3,7,25,"Recovery",25.2,32,25.5,32,0.208,5,1,17.13353535,0.436791384,"NA",0,300,0,0,0,300,0,"No",0.436791384
"B3B1",200,3,8,8,"down",25.4,33.2,25.5,33.2,0.208,5,1,16.546,0.254251701,"NA",0,300,0,0,0,300,0,"No",0.254251701
"B3B1",200,3,10,20,"on",25.4,29,25.6,29,0.208,5,1,15.8230303,0.489512474,"NA",0,300,0,0,0,300,0,"No",0.489512474
"B3B1",200,3,10,30,"Recovery",25,30.2,25.6,30.2,0.208,5,1,15.88424242,0.512471656,"NA",0,300,0,0,0,300,0,"No",0.512471656
"B3B16",0,3,7,15,"on",25.5,32,25.5,32,0.299,3,1,22.21525,0.349064626,"NA",0,300,0,0,0,300,0,"No",0.349064626
"B3B16",0,3,7,25,"Recovery",25.4,33.1,25.5,33.1,0.299,3,1,25.09434343,0.405328798,"NA",18,8,235,39,253,47,187.5,"Yes",0.405328798
"B3B16",0,3,8,8,"down",25.2,34,25.5,34,0.299,3,1,26.17123596,0.161564626,"NA",5,41,202,52,207,93,180,"Yes",0.161564626
"B3B16",0,3,10,20,"on",25.3,29,25.6,29,0.299,3,1,18.48646465,0.337018138,"NA",0,275,0,25,0,300,0,"No",0.337018138
"B3B16",0,3,10,30,"Recovery",25.5,30.2,25.6,30.2,0.299,3,1,19.71212121,0.374433106,"NA",24,86,162,28,186,114,52.5,"Yes",0.374433106
"B3B17",200,3,8,8,"down",25.5,30.2,25.6,30.2,0.22,3,1,12.33712,0.230442177,"NA",6,8,262,24,268,32,120,"Yes",0.230442177
"B3B18",200,3,7,15,"on",25,30,25.5,30,0.192,3,1,21.080875,0.526360544,"NA",0,300,0,0,0,300,0,"No",0.526360544
"B3B18",200,3,7,25,"Recovery",25.2,32,25.5,29,0.192,3,1,19.42525253,0.151360544,"NA",2,7,126,165,128,172,90,"Yes",0.151360544
"B3B18",200,3,8,8,"down",24.5,33.2,25.5,33.2,0.192,3,1,18.48550459,0.111394558,"NA",8,13,175,104,183,117,150,"Yes",0.111394558
"B3B18",200,3,10,20,"on",25.3,29,25.6,29,0.192,3,1,20.71515152,0.35147392,"NA",20,17,164,99,184,116,135,"Yes",0.35147392
"B3B18",200,3,10,30,"Recovery",25.2,30.2,25.6,30.2,0.192,3,1,7.172323232,0.282596372,"NA",0,3,8,289,8,292,7.5,"Yes",0.282596372
"B3B19",200,3,7,15,"on",25,30,25.5,30,0.185,3,1,21.1835,0.371173469,"NA",7,4,210,79,217,83,142.5,"Yes",0.371173469
"B3B19",200,3,7,25,"Recovery",25.2,32,25.5,32,0.185,3,1,22.21292929,0.43792517,"NA",38,80,122,60,160,140,120,"Yes",0.43792517
"B3B19",200,3,10,20,"on",25,33.2,25.5,33.2,0.185,3,1,18.85010101,0.951530612,"NA",31,0,203,66,234,66,225,"Yes",0.951530612
"B3B19",200,3,10,30,"Recovery",25.6,29,25.6,33,0.185,3,1,10.11717172,0.515873016,"NA",6,8,213,73,219,81,90,"Yes",0.515873016
"B3B20",200,3,7,15,"on",25.5,30,25.5,30,0.273,3,1,21.831625,0.378401361,"NA",1,13,0,286,1,299,0,"Yes",0.378401361
"B3B20",200,3,7,25,"Recovery",25,32,25.5,32,0.273,3,1,13.32686869,0.361678004,"NA",0,300,0,0,0,300,0,"No",0.361678004
"B3B20",200,3,10,20,"on",25.3,33.2,25.5,33.2,0.273,3,1,18.60040404,0.522534014,"NA",42,8,233,17,275,25,195,"Yes",0.522534014
"B3B20",200,3,10,30,"Recovery",25.2,29,25.6,29,0.273,3,1,21.6230303,0.524659864,"NA",0,2,99,199,99,201,135,"Yes",0.524659864
"B3B22",200,3,7,15,"on",25.4,32,25.5,32,0.289,3,2,18.9565,0.530612245,0.766699411,0,3,24,273,24,276,15,"Yes",1.297311656
"B3B22",200,3,7,25,"Recovery",25,33.2,25.5,33.2,0.289,3,2,5.148282828,0.384920635,0.52848723,7,19,191,83,198,102,97.5,"Yes",0.913407865
"B3B22",200,3,10,20,"on",25.2,29,25.6,29,0.289,3,2,15.88989899,0.60147392,0.605435491,0,1,299,0,299,1,172.5,"Yes",1.206909411
"B3B23",200,3,10,30,"Recovery",25.1,30,25.5,25,0.192,3,2,8.669494949,0.746598639,0.001309758,0,13,67,220,67,233,60,"Yes",0.747908397
"B3B25",200,3,7,15,"on",24.7,32,25.5,32,0.273,2,2,19.785125,0.594387755,0.415520629,0,5,276,19,276,24,112.5,"Yes",1.009908384
"B3B25",200,3,7,25,"Recovery",25,33.2,25.5,33.2,0.273,2,2,5.511111111,0.672619048,0.133922724,2,61,127,110,129,171,60,"Yes",0.806541772
"B3B25",200,3,8,8,"down",25.6,29,25.6,29,0.273,2,2,16.06774194,0.233843537,0.145383104,9,165,13,113,22,278,15,"Yes",0.379226641
"B3B25",200,3,10,20,"on",25.7,30.2,25.6,31,0.273,2,2,18.23090909,0.482709753,"NA",11,15,200,74,211,89,150,"Yes",0.482709753
"B3B27",200,3,7,15,"on",25.5,30,25.5,33,0.208,2,2,22.23825,0.37372449,0.06237721,0,8,257,35,257,43,195,"Yes",0.4361017
"B3B27",200,3,7,25,"Recovery",25.4,32,25.5,28,0.208,2,2,19.85636364,0.364512472,0.353307138,2,267,0,31,2,298,0,"Yes",0.71781961
"B3B27",200,3,10,20,"on",25.5,33.2,25.5,34.5,0.208,2,2,16.40181818,0.568452381,0.429927967,5,10,264,21,269,31,142.5,"Yes",0.998380348
"B3B27",200,3,10,30,"Recovery",25.6,29,25.6,30.1,0.208,2,2,23.66918237,0.265873016,0.708906352,0,8,248,44,248,52,165,"Yes",0.974779368
"B3B28",200,3,7,15,"on",25.2,32,25.5,34,0.248,2,1,11.228875,0.221938776,"NA",2,3,12,283,14,286,7.5,"Yes",0.221938776
"B3B28",200,3,10,20,"on",25,33.2,25.5,33.2,0.248,2,1,8.26020202,0.649234694,"NA",0,1,0,299,0,300,0,"No",0.649234694
"B3B7",0,3,7,15,"on",25.1,32,25.5,32,0.19,5,2,20.175125,0.225765306,0.065324165,20,1,96,183,116,184,82.5,"Yes",0.291089471
"B3B7",0,3,7,25,"Recovery",25.4,33.1,25.5,33.1,0.19,5,2,11.88121212,0.35430839,0.092010478,0,300,0,0,0,300,0,"No",0.446318868
"B3B7",0,3,10,20,"on",25,29,25.6,29,0.19,5,2,8.850707071,0.512471658,0.679436807,0,300,0,0,0,300,0,"No",1.191908465
"B4B10",200,4,7,8,"down",25.3,32,25.5,32,0.192,4,2,14.96103093,0.255102041,0.25540275,0,300,0,0,0,300,0,"No",0.510504791
"B4B10",200,4,7,15,"on",25.1,33.2,25.5,33.2,0.192,4,2,19.57610738,0.528061224,0.980844794,0,300,0,0,0,300,0,"No",1.508906018
"B4B10",200,4,7,25,"Recovery",25,29,25.6,29,0.192,4,2,5.166262626,0.113662132,0.553045187,0,300,0,0,0,300,0,"No",0.666707319
"B4B10",200,4,10,20,"on",25.2,30.2,25.6,30.2,0.192,4,2,8.462020202,0.75,0.759004587,66,28,160,46,226,74,165,"Yes",1.509004587
"B4B11",200,4,7,15,"on",25.6,32,25.5,32,0.091,4,2,13.05583893,0.229166667,0.301571709,4,13,141,142,145,155,97.5,"Yes",0.530738376
"B4B11",200,4,10,20,"on",25.4,33.2,25.5,35,0.091,4,2,1.946666667,0.367630383,0.758349705,0,64,44,192,44,256,37.5,"Yes",1.125980088
"B4B16",0,4,7,15,"on",25.3,32,25.5,32,0.2,3,1,19.81248322,0.444727891,"NA",0,290,10,0,10,290,15,"Yes",0.444727891
"B4B16",0,4,8,8,"down",25.3,33.1,25.5,33.1,0.2,3,1,18.28135338,0.197278912,"NA",2,10,213,75,215,85,157.5,"Yes",0.197278912
"B4B16",0,4,10,20,"on",25.1,30.2,25.6,30.2,0.2,3,1,11.65555556,0.366780043,"NA",5,134,105,56,110,190,112.5,"Yes",0.366780043
"B4B20",0,4,8,8,"down",25.7,30.2,25.6,30.2,0.126,3,2,14.44306122,0.12585034,0.148984938,3,15,212,70,215,85,172.5,"Yes",0.274835278
"B4B23",0,4,7,15,"on",25.2,32,25.5,32,0.263,3,1,12.76147651,0.182823129,"NA",12,10,163,115,175,125,67.5,"Yes",0.182823129
"B4B23",0,4,7,25,"Recovery",25,33.1,25.5,33.1,0.263,3,1,13.60222222,0.361678004,"NA",0,7,76,217,76,224,60,"Yes",0.361678004
"B4B23",0,4,10,20,"on",25.1,34,25.5,34,0.263,3,1,15.67979798,0.20975057,"NA",0,300,0,0,0,300,0,"No",0.20975057
"B4B23",0,4,10,30,"Recovery",25.3,29,25.6,30,0.263,3,1,14.23858586,0.239229025,"NA",2,5,6,287,8,292,7.5,"Yes",0.239229025
"B4B29",0,4,7,15,"on",25.4,33.1,25.5,33.1,0.297,2,2,5.572885906,0.37457483,0.571218075,8,84,91,117,99,201,82.5,"Yes",0.945792905
"B4B29",0,4,8,8,"down",25.5,30.2,25.6,30.2,0.297,2,2,26.19980952,0.399659864,0.167976424,0,1,0,299,0,300,0,"No",0.567636288
"B4B8",0,4,7,15,"on",25.3,32,25.5,31.2,0.183,4,1,17.00147651,0.403486395,"NA",5,13,194,88,199,101,157.5,"Yes",0.403486395
"B4B8",0,4,7,25,"Recovery",25.5,33.1,25.5,33.1,0.183,4,1,11.2840404,0.156746031,"NA",0,7,53,240,53,247,45,"Yes",0.156746031
"B4B8",0,4,8,8,"down",25.4,34,25.5,34,0.183,4,1,9.986306306,0.138605442,"NA",5,20,187,88,192,108,165,"Yes",0.138605442
"B4B8",0,4,10,20,"on",25,29,25.6,29,0.183,4,1,12.35919192,0.236111114,"NA",9,4,27,260,36,264,30,"Yes",0.236111114
"B4B8",0,4,10,30,"Recovery",25.3,30.2,25.6,30.2,0.183,4,1,9.734343434,0.123866213,"NA",0,1,0,299,0,300,0,"No",0.123866213
"B5B1",0,5,10,20,"on",25.2,32,25.5,32,0.13,5,2,8.257979798,0.219387755,0.303536346,61,107,58,74,119,181,67.5,"Yes",0.522924101
"B5B15",200,5,7,25,"Recovery",25,30,25.5,30,0.281,4,1,22.22646465,0.785714286,"NA",0,300,0,0,0,300,0,"No",0.785714286
"B5B15",200,5,10,30,"Recovery",25.1,29,25.6,29,0.281,4,1,15.31676768,0.491780045,"NA",2,14,86,198,88,212,82.5,"Yes",0.491780045
"B5B17",0,5,7,15,"on",25.3,32,25.5,32,0.27,3,1,14.52416107,0.345238095,"NA",0,9,209,82,209,91,195,"Yes",0.345238095
"B5B17",0,5,8,8,"down",25.4,33.1,25.5,34,0.27,3,1,18.24585859,0.18792517,"NA",39,0,238,23,277,23,97.5,"Yes",0.18792517
"B5B17",0,5,10,20,"on",25.2,30.2,25.6,30.2,0.27,3,1,6.993535354,0.037131522,"NA",0,8,197,95,197,103,217.5,"Yes",0.037131522
"B5B18",200,5,7,15,"on",25.4,32,25.5,32,0.288,3,1,22.28053691,0.482142857,"NA",24,15,142,119,166,134,90,"Yes",0.482142857
"B5B18",200,5,10,20,"on",25.2,33.2,25.5,33.2,0.288,3,1,2.629494949,0.440759634,"NA",0,293,7,0,7,293,15,"Yes",0.440759634
"B5B2",0,5,7,15,"on",25.3,32,25.5,32,0.232,5,2,21.58147651,0.494472789,0.901768173,0,1,0,299,0,300,0,"No",1.396240962
"B5B2",0,5,7,25,"Recovery",25.2,33.1,25.5,33.1,0.232,5,2,11.34080808,0.293083901,0.597904388,0,105,0,195,0,300,0,"No",0.890988289
"B5B2",0,5,8,8,"down",25.2,34,25.5,34,0.232,5,2,19.76088889,0.176870748,0.149967256,9,88,203,0,212,88,142.5,"Yes",0.326838004
"B5B2",0,5,10,20,"on",24.9,29,25.6,33,0.232,5,2,17.15171717,0.27352608,0.767518006,2,66,63,169,65,235,60,"Yes",1.041044086
"B5B2",0,5,10,30,"Recovery",25,30.2,25.6,30.2,0.232,5,2,22.67878788,0.206632653,0.98853962,0,1,299,0,299,1,195,"Yes",1.195172273
"B5B27",200,5,7,15,"on",25,30,25.5,30,0.265,2,2,24.23677852,0.582482993,0.819744597,54,11,179,56,233,67,150,"Yes",1.40222759
"B5B27",200,5,7,25,"Recovery",25,32,25.5,32,0.265,2,2,22.73878788,0.295918367,0.69318926,0,300,0,0,0,300,0,"No",0.989107627
"B5B27",200,5,8,8,"down",25.1,33.2,25.5,33.2,0.265,2,2,20.15936842,0.139455782,0.088408644,0,300,0,0,0,300,0,"No",0.227864426
"B5B27",200,5,10,20,"on",25.2,29,25.6,29,0.265,2,2,24.53878788,0.398242628,0.515717092,0,300,0,0,0,300,0,"No",0.91395972
"B5B27",200,5,10,30,"Recovery",25.3,30.2,25.6,30.2,0.265,2,2,20.04969697,0.586734694,0.686640472,0,8,125,167,125,175,120,"Yes",1.273375166
"B5B28",200,5,8,8,"down",25,32,25.5,32,0.219,2,1,11.71714286,0.162414966,"NA",2,5,2,291,4,296,7.5,"Yes",0.162414966
"B5B28",200,5,10,20,"on",25.4,30.2,25.6,31,0.219,2,1,14.27393939,0.612244898,"NA",18,0,293,0,300,0,172.5,"Yes",0.612244898
"B5B3",0,5,8,8,"down",25.3,30.2,25.6,31,0.286,5,2,18.85292929,0.357993197,0.093647675,0,300,0,0,0,300,0,"No",0.451640872
"B5B9",0,5,7,15,"on",24.9,32,25.5,34,0.196,4,1,19.49167785,0.432823129,"NA",0,300,0,0,0,300,0,"No",0.432823129
"B5B9",0,5,8,8,"down",24.8,33.1,25.5,30.8,0.196,4,1,19.13377778,0.204081633,"NA",12,6,266,16,278,22,187.5,"Yes",0.204081633
"B5B9",0,5,10,20,"on",24.6,30.2,25.6,35.3,0.196,4,1,4.436363636,0.058956913,"NA",21,7,50,222,71,229,45,"Yes",0.058956913
"B6B18",0,6,7,15,"on",25.1,36,25.5,32.1,0.143,3,1,17.59959732,0.359693878,"NA",0,2,19,279,19,281,15,"Yes",0.359693878
"B6B18",0,6,7,25,"Recovery",25,29,25.6,27,0.143,3,1,15.54606061,0.342120181,"NA",0,300,0,0,0,300,0,"No",0.342120181
"B6B18",0,6,10,20,"on",25.1,34,25.6,34,0.143,3,1,14.39151515,0.088718818,"NA",25,13,191,71,216,84,150,"Yes",0.088718818
"B6B18",0,6,10,30,"Recovery",25.2,38.1,25.6,38.1,0.143,3,1,11.08383838,0.224489796,"NA",8,8,120,164,128,172,112.5,"Yes",0.224489796
"B6B19",0,6,7,25,"Recovery",25.2,29,25.6,29,0.098,3,1,26.13939394,0.353174603,"NA",0,300,0,0,0,300,0,"No",0.353174603
"B6B19",0,6,10,30,"Recovery",24.8,34,25.6,34,0.098,3,1,19.66969697,0.10515873,"NA",28,8,127,137,155,145,60,"Yes",0.10515873
"B6B2",200,6,7,25,"Recovery",25,29,25.6,29,0.236,5,2,18.48646465,0.511621315,0.544531762,7,6,178,109,185,115,150,"Yes",1.056153077
"B6B2",200,6,10,30,"Recovery",25,30,25.6,30,0.236,5,2,13.97919192,0.188492064,0.212180747,13,7,41,239,54,246,37.5,"Yes",0.400672811
