Site,petiole_diameter_mm
Lily_Loch,7.42
Lily_Loch,3.58
Lily_Loch,7.47
Lily_Loch,6.07
Lily_Loch,6.81
Lily_Loch,8.05
Lily_Loch,7.24
Lily_Loch,7.9
Lily_Loch,6.15
Lily_Loch,6.2
Lily_Loch,7.26
Lily_Loch,7.06
Lily_Loch,6.45
Lily_Loch,3.66
Lily_Loch,4.37
Lily_Loch,4.55
Lily_Loch,3.81
Lily_Loch,2.77
Lily_Loch,1.91
Lily_Loch,2.62
Choille-Bharr,2.39
Choille-Bharr,4.22
Choille-Bharr,2.41
Choille-Bharr,5.54
Choille-Bharr,3.56
Choille-Bharr,5.72
Choille-Bharr,4.72
Choille-Bharr,5.05
Choille-Bharr,6.76
Choille-Bharr,5.64
Choille-Bharr,4.06
Choille-Bharr,9.25
Choille-Bharr,5.99
Choille-Bharr,4.57
Choille-Bharr,6.96
Choille-Bharr,6.78
Choille-Bharr,7.29
Choille-Bharr,5.16
Choille-Bharr,8.64
Choille-Bharr,7.01
Creig-Moire,2.39
Creig-Moire,4.65
Creig-Moire,5.16
Creig-Moire,2.87
Creig-Moire,6.63
Creig-Moire,7.42
Creig-Moire,3.66
Creig-Moire,7.26
Creig-Moire,3.71
Creig-Moire,3.2
Creig-Moire,5.99
Creig-Moire,6.38
Creig-Moire,5.49
Creig-Moire,4.93
Creig-Moire,7.29
Creig-Moire,6.1
Creig-Moire,5.97
Creig-Moire,9.93
Creig-Moire,8.28
Creig-Moire,7.24
Fidhle,2.97
Fidhle,6.68
Fidhle,3.78
Fidhle,7.11
Fidhle,2.74
Fidhle,4.75
Fidhle,5.59
Fidhle,3.94
Fidhle,5.44
Fidhle,4.98
Fidhle,4.24
Fidhle,5.51
Fidhle,6.48
Fidhle,5.69
Fidhle,2.79
Fidhle,5.72
Fidhle,4.39
Fidhle,7.19
Fidhle,7.29
Fidhle,8.18
Buic,2.84
Buic,4.19
Buic,6.5
Buic,3.2
Buic,4.14
Buic,2.51
Buic,8.53
Buic,6.25
Buic,6.17
Buic,3.53
Buic,5.03
Buic,6.1
Buic,4.98
Buic,5.21
Buic,5.03
Buic,7.19
Buic,6.32
Buic,7.04
Buic,6.35
Buic,6.3
Linne,3.73
Linne,5.21
Linne,3.78
Linne,3.71
Linne,6.93
Linne,6.4
Linne,1.57
Linne,3.2
Linne,4.55
Linne,2.62
Linne,3.48
Linne,2.67
Linne,9.4
Linne,6.86
Linne,6.2
Linne,4.93
Linne,5.18
Linne,6.12
Linne,7.26
Linne,9.14
Beag,6.12
Beag,3.23
Beag,7.04
Beag,3.05
Beag,7.06
Beag,9.58
Beag,4.62
Beag,8.66
Beag,3.96
Beag,5.26
Beag,3.53
Beag,8.33
Beag,5.41
Beag,7.32
Beag,5.46
Beag,4.34
Beag,6.35
Beag,6.12
Beag,5.11
Beag,8.18
