"Tree","Length_cm","Width_cm","Height_cm","Seeds","Tree","Length_cm","Width_cm","Height_cm","Seeds"
"A",1.5,1.8,1.4,238,"C",2.3,2,2.1,214
"A",1.7,1.9,1.5,198,"C",2.1,1.8,1.8,151
"A",2.1,2.1,1.6,220,"C",2,1.8,1.8,243
"A",1.5,1.6,1.4,188,"C",2,2,1.8,175
"A",1.6,1.6,1.5,139,"C",2.1,1.9,1.9,198
"A",1.5,1.4,1.5,173,"C",2.1,2,1.9,254
"A",1.4,1.4,1.2,92,"C",1.6,1.6,1.4,96
"A",1.8,1.6,1.4,155,"C",1.8,1.6,1.5,158
"A",1.2,1.1,1.5,119,"C",1.9,2,1.7,200
"A",1.8,1.7,1.5,203,"C",1.6,1.7,1.4,223
"A",1.7,1.8,1.5,243,"C",1.7,1.6,1.4,198
"A",1.5,1.6,1.4,0,"C",1.8,1.9,1.9,121
"A",1.6,1.6,1.6,129,"C",1.8,1.8,1.5,170
"A",1.5,1.7,1.4,122,"C",2.1,1.8,1.8,226
"B",1.5,1.5,1.2,128,"C",1.9,2,1.6,252
"B",1.6,1.6,1.4,125,"C",1.6,1.6,1.4,79
"B",1.4,1.5,1.3,150,"C",1.7,1.6,1.6,218
"B",1.7,1.6,1.6,273,"C",1.6,1.5,1.4,1
"B",1.3,1.3,1.2,73,"C",1.6,1.6,1.5,197
"B",1.5,1.6,1.2,194,"D",1.7,1.7,1.6,91
"B",1.3,1.3,1.2,76,"D",1.6,1.6,1.5,136
"B",1.4,1.4,"NA",192,"D",1.9,1.9,1.7,106
"B",1.4,1.4,1.3,138,"D",1.8,1.8,1.8,316
"B",1.2,1.4,1.3,91,"D",1.6,1.5,1.5,68
"B",1.4,1.5,1.4,205,"D",1.5,1.6,1.6,83
"B",1.4,1.4,1.5,180,"D",1.4,"NA",1.3,36
"B",1.3,1.3,1.2,179,"D",1.4,1.2,1.2,46
"B",1.3,1.4,1.2,2,"D",1.7,1.7,1.6,134
"B",1.5,1.7,1.4,180,"D",1.6,1.5,1.5,74
"B",1.4,1.4,1.1,155,"D",1.4,1.3,1.4,32
"B",1.4,1.3,1.2,146,"D",1.6,1.5,1.5,73
"B",1.4,1.4,1.3,201,"D",1.3,1.2,1.3,98
"B",1.2,1.2,1.1,91,"D",1.6,1.6,1.7,168
"B",1.4,1.3,1.2,146,"D",1.4,1.4,1.2,22
"B",1.3,1.4,1.3,85,"D",1.2,1.1,1.2,41
"B",1.5,1.5,1.2,108,"D",1.5,1.4,1.4,74
,,,,,"D",1.5,1.4,1.4,98
,,,,,"D",1.6,1.4,1.6,89
,,,,,"D",1.6,1.6,1.7,96
,,,,,"D",1.5,1.5,1.6,64
,,,,,"D",1.2,1.2,1.3,52
,,,,,"D",1.7,1.6,1.5,125
