"Week","Date","Day","Time","Room","Lead","Session"
1,"25 JAN","WED","13:05-15:55","C2A17","BD","Preparing data (A)"
1,"26 JAN","THU","09:05-11:55","C2A17","BD","Preparing data (B)"
1,"27 JAN","FRI","15:05-17:55","C1A13","BD","Help (optional)"
2,"01 FEB","WED","13:05-15:55","C2A17","IJ","Stats concepts (A)"
2,"02 FEB","THU","09:05-11:55","C2A17","IJ","Stats concepts (B)"
2,"03 FEB","FRI","15:05-17:55","C1A13","IJ","Help (optional)"
3,"08 FEB","WED","13:05-15:55","C2A17","IJ","Summary stats (A)"
3,"09 FEB","THU","09:05-11:55","C2A17","IJ","Summary stats (B)"
3,"10 FEB","FRI","15:05-17:55","C1A13","IJ","Help (optional)"
4,"15 FEB","WED","13:05-15:55","C2A17","IJ","Prob models (A)"
4,"16 FEB","THU","09:05-11:55","C2A17","IJ","Prob models (B)"
4,"17 FEB","FRI","15:05-17:55","C1A13","IJ","Help (optional)"
5,"22 FEB","WED","10:05-11:55","Online","BD","Test 1F"
5,"22 FEB","WED","13:05-15:55","C2A17","IJ","Stats inference (A)"
5,"23 FEB","THU","09:05-11:55","C2A17","IJ","Stats inference (B)"
5,"24 FEB","FRI","15:05-17:55","C1A13","IJ","Help (optional)"
6,"01 MAR","WED","13:05-15:55","C2A17","MQ","Hypo testing (A)"
6,"02 MAR","THU","09:05-11:55","C2A17","MQ","Hypo testing (B)"
6,"03 MAR","FRI","15:05-17:55","C1A13","MQ","Help (optional)"
8,"15 MAR","WED","10:05-11:55","Online","BD","Test 1S"
8,"15 MAR","WED","13:05-15:55","C2A17","MQ","ANOVA (A)"
8,"16 MAR","THU","09:05-11:55","C2A17","MQ","ANOVA (B)"
8,"17 MAR","FRI","15:05-17:55","C1A13","MQ","Help (optional)"
9,"22 MAR","WED","13:05-15:55","C2A17","MQ","Counts (A)"
9,"23 MAR","THU","09:05-11:55","C2A17","MQ","Counts (B)"
9,"24 MAR","FRI","15:05-17:55","C1A13","MQ","Help (optional)"
10,"29 MAR","WED","13:05-15:55","C2A17","BD","Regression (A)"
10,"30 MAR","THU","09:05-11:55","C2A17","BD","Regression (B)"
10,"31 MAR","FRI","15:05-17:55","C1A13","BD","Help (optional)"
11,"05 APR","WED","10:05-11:55","Online","BD","Test 2S"
11,"05 APR","WED","13:05-15:55","C2A17","BD","Randomisation (A)"
11,"06 APR","THU","09:05-11:55","C2A17","BD","Randomisation (B)"
11,"07 APR","FRI","15:05-17:55","Tutorial","BD","Help (optional)"
12,"12 APR","WED","13:05-15:55","C2A17","BD","Stats reporting (A)"
12,"13 APR","THU","09:05-11:55","C2A17","BD","Stats reporting (B)"
12,"14 APR","FRI","15:05-17:55","C1A13","BD","Help (optional)"
13,"18 APR","TUE","14:05-16:55","C1A13","BD","Help (optional)"
