"ID","Test_1","Test_2","Test_3"
202301,62.7,63.5,81.8
202302,57.9,77.4,57.3
202303,64.6,50.7,57.4
202304,56.1,70.5,57
202305,72.5,75.2,57.4
202306,51.9,45.7,59.5
202307,58.1,49.1,63.3
202308,59.5,52.4,57.2
202309,45.2,39.3,57.2
202310,61.8,45.6,57.3
202311,72,59.4,57
202312,58.4,75.8,57.9
202313,52.8,46,65.8
202314,71.6,68.9,62.7
202315,56.4,41.7,57.7
202316,66.1,50.7,61.3
202317,57,50.4,57.6
202318,57.1,67.7,59.5
202319,71.1,49.8,58.8
202320,66.3,53.6,57.3
202321,68.7,43.9,57.7
202322,61,77.3,57.6
202323,54.3,67.7,57.7
202324,56.8,47.6,78.9
