"Site","Tree","Fruit","Tree_Lat","Tree_Lon","Foundress_Pollinators","Fruit_Volume_mm","Poll","SO1","SO2","LO1","Het1","Het2","Aepoc","Physo","Neighbours_1km"
"S70","T70","F1",23.73629,-109.83987,4,1978.2,138,0,0,0,0,0,1,1,21
"S70","T70","F2",23.73629,-109.83987,3,2535.55,97,3,0,1,0,0,0,0,21
"S70","T70","F3",23.73629,-109.83987,1,3692.64,58,3,0,0,0,0,0,0,21
"S70","T70","F4",23.73629,-109.83987,1,"NA",39,0,0,5,0,0,0,0,21
"S70","T70","F5",23.73629,-109.83987,1,1758.4,129,0,0,0,0,0,0,0,21
"S70","T70","F6",23.73629,-109.83987,1,2009.6,77,0,0,6,0,0,0,2,21
"S70","T70","F7",23.73629,-109.83987,1,1648.5,74,0,0,0,0,0,2,2,21
"S70","T70","F8",23.73629,-109.83987,1,1230.88,50,0,0,9,0,0,0,0,21
"S70","T70","F9",23.73629,-109.83987,3,2110.08,137,0,0,12,0,0,0,0,21
"S70","T70","F10",23.73629,-109.83987,1,1036.2,60,0,0,4,0,0,0,2,21
"S70","T70","F11",23.73629,-109.83987,3,2402.1,18,0,0,10,0,0,0,0,21
"S70","T70","F12",23.73629,-109.83987,1,2402.1,72,0,0,0,0,0,4,0,21
"S70","T70","F13",23.73629,-109.83987,1,1758.4,72,0,0,0,0,0,0,0,21
"S70","T70","F14",23.73629,-109.83987,1,2143.573333,20,0,0,0,0,0,1,1,21
"S70","T70","F15",23.73629,-109.83987,1,1868.3,43,0,0,0,0,0,1,0,21
"S70","T201","F1",23.73735,-109.85768,1,1413,87,28,0,53,0,3,0,0,1
"S70","T201","F2",23.73735,-109.85768,1,1875.626667,87,25,0,68,0,2,1,0,1
"S70","T201","F3",23.73735,-109.85768,1,1428.7,106,0,0,0,0,0,0,0,1
"S70","T201","F4",23.73735,-109.85768,2,2277.546667,180,0,0,0,0,0,0,0,1
"S70","T201","F5",23.73735,-109.85768,1,1061.32,59,0,0,22,0,3,0,0,1
"S70","T201","F6",23.73735,-109.85768,1,1507.2,176,0,0,0,0,0,0,0,1
"S70","T201","F7",23.73735,-109.85768,1,1061.32,88,0,0,16,0,0,0,0,1
"S70","T201","F8",23.73735,-109.85768,2,1333.453333,124,1,15,0,0,0,0,0,1
"S70","T201","F9",23.73735,-109.85768,1,1333.453333,107,0,0,36,0,0,0,0,1
"S70","T201","F10",23.73735,-109.85768,2,1142.96,124,1,8,0,0,0,0,0,1
"S70","T201","F11",23.73735,-109.85768,2,1538.6,128,0,0,2,0,0,0,0,1
"S70","T201","F12",23.73735,-109.85768,1,1538.6,132,5,0,0,0,0,1,1,1
"S70","T201","F13",23.73735,-109.85768,1,1061.32,53,4,1,66,0,0,1,0,1
"S70","T201","F14",23.73735,-109.85768,1,1142.96,68,0,0,14,0,0,0,0,1
"S70","T201","F15",23.73735,-109.85768,1,1868.3,91,0,0,34,0,0,0,0,1
"S70","T201","F16",23.73735,-109.85768,1,1128.306667,164,0,0,0,0,0,0,0,1
"S70","T201","F17",23.73735,-109.85768,1,1142.96,120,1,0,4,0,0,0,0,1
"S70","T201","F18",23.73735,-109.85768,1,1333.453333,150,0,0,0,0,0,0,0,1
"S70","T201","F19",23.73735,-109.85768,2,828.96,70,0,0,31,1,0,1,0,1
"S70","T201","F20",23.73735,-109.85768,2,1142.96,103,0,0,0,0,0,0,0,1
"S70","T201","F21",23.73735,-109.85768,2,1238.206667,113,0,0,2,0,0,5,0,1
"S70","T201","F22",23.73735,-109.85768,1,1413,148,0,0,3,0,0,0,0,1
"S70","T56","F1",23.73893,-109.81664,1,5055.4,159,0,0,63,3,0,0,0,45
"S70","T56","F2",23.73893,-109.81664,2,3560.76,245,22,0,0,0,0,0,0,45
"S70","T56","F3",23.73893,-109.81664,3,3391.2,295,0,0,6,0,0,0,0,45
"S70","T56","F4",23.73893,-109.81664,1,3768,204,0,0,32,0,0,0,0,45
"S70","T56","F5",23.73893,-109.81664,1,3967.39,176,0,0,22,0,0,0,0,45
"S70","T56","F6",23.73893,-109.81664,2,4176.2,174,0,0,34,0,0,0,0,45
"S70","T56","F7",23.73893,-109.81664,2,1875.626667,87,0,0,16,0,0,0,0,45
"S70","T56","F8",23.73893,-109.81664,1,2260.8,218,0,0,0,0,0,0,0,45
"S70","T56","F9",23.73893,-109.81664,1,3380.733333,154,0,0,10,0,0,0,0,45
"S70","T56","F10",23.73893,-109.81664,2,1992.853333,118,0,0,3,0,0,0,0,45
"S70","T56","F11",23.73893,-109.81664,1,1992.853333,158,0,0,0,0,1,0,0,45
"S70","T56","F12",23.73893,-109.81664,2,3400.62,155,15,0,11,0,0,0,0,45
"S70","T56","F13",23.73893,-109.81664,1,2543.4,148,0,0,13,0,0,0,0,45
"S70","T56","F14",23.73893,-109.81664,1,3560.76,111,7,0,19,0,0,2,0,45
"S70","T56","F15",23.73893,-109.81664,1,3181.866667,224,4,0,24,0,2,0,0,45
"S70","T56","F16",23.73893,-109.81664,1,1875.626667,190,5,0,2,0,0,0,0,45
"S70","T56","F17",23.73893,-109.81664,1,2277.546667,129,0,0,0,0,0,0,0,45
"S70","T56","F18",23.73893,-109.81664,2,1758.4,13,0,0,32,0,0,0,0,45
"S70","T56","F19",23.73893,-109.81664,1,2009.6,82,22,0,0,0,0,0,0,45
"S70","T8","F1",23.73801,-109.81612,1,3131.626667,112,0,0,2,0,0,0,0,45
"S70","T8","F2",23.73801,-109.81612,1,"NA",111,4,0,1,0,0,0,0,45
"S70","T8","F3",23.73801,-109.81612,2,3730.32,135,1,0,0,0,0,0,0,45
"S70","T8","F4",23.73801,-109.81612,1,2863.68,119,0,0,5,0,0,0,0,45
"S70","T8","F5",23.73801,-109.81612,2,2386.4,135,1,0,24,0,0,0,0,45
"S70","T8","F6",23.73801,-109.81612,1,2669,72,2,0,1,0,0,0,0,45
"S70","T8","F7",23.73801,-109.81612,1,3589.543333,45,11,3,0,0,0,0,0,45
"S70","T58","F1",23.73897,-109.81637,1,2419.893333,62,8,28,18,2,3,4,4,45
