"Species","Head_Length_mm","Head_Width_mm","Thorax_Length_mm","Thorax_Width_mm","Abdomen_Length_mm","Abdomen_Width_mm"
"Het1",0.566,0.698,0.767,0.494,1.288,0.504
"Het1",0.505,0.607,0.784,0.527,1.059,0.43
"Het1",0.511,0.622,0.769,0.511,1.107,0.504
"Het1",0.479,0.601,0.766,0.407,1.242,0.446
"Het1",0.545,0.707,0.828,0.561,1.367,0.553
"Het1",0.525,0.651,0.852,0.59,1.408,0.618
"Het2",0.497,0.607,0.781,0.487,1.248,0.601
"Het2",0.45,0.565,0.696,0.432,1.092,0.504
"Het2",0.557,0.637,0.792,0.445,1.24,0.469
"Het2",0.519,0.563,0.814,0.443,1.221,0.623
"Het2",0.43,0.53,0.621,0.372,1.034,0.546
"LO1",0.43,0.517,0.897,0.394,1.176,0.71
"LO1",0.357,0.469,0.722,0.326,0.875,0.435
"LO1",0.383,0.488,0.678,0.468,1.097,0.609
"LO1",0.433,0.562,0.858,0.456,1.061,0.521
"LO1",0.402,0.527,0.823,0.438,1.266,0.777
"LO1",0.426,0.508,0.723,0.377,1.097,0.654
"SO1",0.365,0.513,0.67,0.4,1.124,0.575
"SO1",0.361,0.483,0.624,0.385,1.095,0.55
"SO1",0.377,0.508,0.725,0.391,0.973,0.389
"SO1",0.302,0.379,0.498,0.279,0.682,0.358
"SO2",0.394,0.538,0.712,0.406,1.006,0.655
"SO2",0.353,0.423,0.64,0.35,0.963,0.541
"SO2",0.363,0.513,0.686,0.457,1.025,0.523
"SO2",0.329,0.432,0.648,0.388,0.975,0.414
"SO2",0.364,0.511,0.684,0.367,0.972,0.505
